workload,arm,repetition,random_seed,status,correct,selected_latency_ms,readiness_seconds,internal_selected_performance,incumbent_best_perf,attempted,provider_requests,input_tokens,output_tokens,tier,decision,evaluation_count,llm_attempts,lfbo_attempts
attention-2x8x4096x64,contextual_rag_llm,1,1000,completed,True,0.22191999852657318,82.35999404700124,0.22140799462795258,0.22140799462795258,26,1,4474,680,1,BaselineSearch,33,,
attention-2x8x4096x64,contextual_rag_llm,2,1001,completed,True,0.2213599979877472,84.79363347601611,0.22275200486183167,0.21596799790859222,26,1,4474,578,1,BaselineSearch,34,,
attention-2x8x4096x64,contextual_rag_llm,3,1002,completed,True,0.22204799950122833,88.20508466198226,0.2237119972705841,0.22332799434661865,26,1,4474,722,1,BaselineSearch,34,,
attention-2x8x4096x64,contextual_rag_llm,4,1003,completed,True,0.22259199619293213,71.73904997398495,0.22435200214385986,0.22393600642681122,26,1,4474,680,1,BaselineSearch,33,,
attention-2x8x4096x64,contextual_rag_llm,5,1004,completed,True,0.25385600328445435,96.6405117700051,0.2556160092353821,0.2545119971036911,26,1,4474,719,1,BaselineSearch,33,,
attention-2x8x4096x64,hybrid_lfbo_llm,1,1000,completed,True,0.2529599964618683,226.4402204140206,0.25494399666786194,0.25094398856163025,80,1,4474,688,,BaselineSearch,72,26,54
attention-2x8x4096x64,hybrid_lfbo_llm,2,1001,completed,True,0.22188800573349,263.8581857129757,0.22387200593948364,0.21743999421596527,80,1,4474,680,,BaselineSearch,72,26,54
attention-2x8x4096x64,hybrid_lfbo_llm,3,1002,completed,True,0.22630399465560913,228.6523419790028,0.2269439995288849,0.2269439995288849,80,1,4474,658,,BaselineSearch,72,26,54
attention-2x8x4096x64,hybrid_lfbo_llm,4,1003,completed,True,0.21958400309085846,167.67555153899593,0.21583999693393707,0.21583999693393707,80,1,4474,671,,BaselineSearch,72,26,54
attention-2x8x4096x64,hybrid_lfbo_llm,5,1004,completed,True,0.22060799598693848,252.57731363500352,0.22259199619293213,0.21993599832057953,80,1,4474,689,,BaselineSearch,70,26,54
attention-2x8x4096x64,lfbo,1,1000,completed,True,0.738976001739502,151.5242729570018,0.7440639734268188,0.7440639734268188,80,0,,,,BaselineSearch,41,,
attention-2x8x4096x64,lfbo,2,1001,completed,True,0.536191999912262,266.05276337100076,0.5241280198097229,0.5230720043182373,80,0,,,,BaselineSearch,42,,
attention-2x8x4096x64,lfbo,3,1002,completed,True,0.3134720027446747,159.61771328299074,0.31305599212646484,0.31305599212646484,80,0,,,,BaselineSearch,42,,
attention-2x8x4096x64,lfbo,4,1003,completed,True,0.21904000639915466,105.07777328600059,0.2152000069618225,0.2152000069618225,80,0,,,,BaselineSearch,42,,
attention-2x8x4096x64,lfbo,5,1004,completed,True,0.430976003408432,117.78179955898668,0.4315199851989746,0.40300801396369934,80,0,,,,BaselineSearch,41,,
attention-2x8x4096x64,llm,1,1000,completed,True,0.2539199888706207,80.6105399549997,0.25542399287223816,0.2539519965648651,26,1,4474,669,,BaselineSearch,34,,
attention-2x8x4096x64,llm,2,1001,completed,True,0.2234880030155182,79.53236216900405,0.22441600263118744,0.21756799519062042,26,1,4474,701,,BaselineSearch,34,,
attention-2x8x4096x64,llm,3,1002,completed,True,0.25406399369239807,81.63915478301351,0.2542400062084198,0.2542400062084198,26,1,4474,701,,BaselineSearch,34,,
attention-2x8x4096x64,llm,4,1003,completed,True,0.2213120013475418,66.01541783701396,0.22220799326896667,0.22220799326896667,26,1,4474,699,,BaselineSearch,34,,
attention-2x8x4096x64,llm,5,1004,completed,True,0.25036799907684326,93.4017898789898,0.2502399981021881,0.24908800423145294,26,1,4474,720,,BaselineSearch,34,,
attention-2x8x512x64,contextual_rag_llm,1,1000,completed,True,0.012927999719977379,68.01639626396354,0.012032000347971916,0.011008000001311302,26,1,4475,656,1,BaselineSearch,34,,
attention-2x8x512x64,contextual_rag_llm,2,1001,completed,True,0.012703999876976013,68.81280289002461,0.01190400030463934,0.011136000044643879,26,1,4475,685,1,BaselineSearch,33,,
attention-2x8x512x64,contextual_rag_llm,3,1002,completed,True,0.012864000163972378,71.70814401598182,0.011872000060975552,0.011599999852478504,26,1,4475,526,1,BaselineSearch,34,,
attention-2x8x512x64,contextual_rag_llm,4,1003,completed,True,0.012575999833643436,68.31438731396338,0.012543999589979649,0.011103999800980091,26,1,4475,534,1,BaselineSearch,34,,
attention-2x8x512x64,contextual_rag_llm,5,1004,completed,True,0.012736000120639801,90.98251053801505,0.012480000033974648,0.011136000044643879,26,1,4475,529,1,BaselineSearch,34,,
attention-2x8x512x64,hybrid_lfbo_llm,1,1000,completed,True,0.012736000120639801,217.29392682999605,0.011872000060975552,0.011264000087976456,80,1,4475,664,,BaselineSearch,72,26,54
attention-2x8x512x64,hybrid_lfbo_llm,2,1001,completed,True,0.01283199992030859,139.43874894396868,0.012319999746978283,0.01196799986064434,80,1,4475,545,,BaselineSearch,71,26,54
attention-2x8x512x64,hybrid_lfbo_llm,3,1002,completed,True,0.012671999633312225,227.74654681194806,0.012223999947309494,0.011008000001311302,80,1,4475,535,,BaselineSearch,72,26,54
attention-2x8x512x64,hybrid_lfbo_llm,4,1003,completed,True,0.013120000250637531,189.7223910499597,0.012480000033974648,0.011264000087976456,80,1,4475,559,,BaselineSearch,72,26,54
attention-2x8x512x64,hybrid_lfbo_llm,5,1004,completed,True,0.013055999763309956,155.38179748499533,0.01235199999064207,0.011648000217974186,80,1,4475,550,,BaselineSearch,72,26,54
attention-2x8x512x64,lfbo,1,1000,completed,True,0.021663999184966087,155.4938603300252,0.020800000056624413,0.02070399932563305,80,0,,,,BaselineSearch,40,,
attention-2x8x512x64,lfbo,2,1001,completed,True,0.015359999611973763,85.32964380003978,0.014751999638974667,0.0144640002399683,80,0,,,,BaselineSearch,41,,
attention-2x8x512x64,lfbo,3,1002,completed,True,0.02252800017595291,174.01841262803646,0.022143999114632607,0.021727999672293663,80,0,,,,BaselineSearch,42,,
attention-2x8x512x64,lfbo,4,1003,completed,True,0.014783999882638454,100.51324919698527,0.01408000010997057,0.013504000380635262,80,0,,,,BaselineSearch,42,,
attention-2x8x512x64,lfbo,5,1004,completed,True,0.02054399996995926,99.23271320998902,0.019999999552965164,0.01651199907064438,80,0,,,,BaselineSearch,41,,
attention-2x8x512x64,llm,1,1000,completed,True,0.013120000250637531,64.53389327699551,0.011872000060975552,0.011504000052809715,26,1,4475,627,,BaselineSearch,34,,
attention-2x8x512x64,llm,2,1001,completed,True,0.012736000120639801,62.065011231054086,0.011872000060975552,0.011872000060975552,26,1,4475,678,,BaselineSearch,34,,
attention-2x8x512x64,llm,3,1002,completed,True,0.012703999876976013,65.65721879596822,0.01228800043463707,0.010975999757647514,26,1,4475,519,,BaselineSearch,34,,
attention-2x8x512x64,llm,4,1003,completed,True,0.01283199992030859,61.59981789701851,0.011872000060975552,0.011359999887645245,26,1,4475,503,,BaselineSearch,34,,
attention-2x8x512x64,llm,5,1004,completed,True,0.013055999763309956,83.71240507496987,0.012000000104308128,0.011359999887645245,26,1,4475,551,,BaselineSearch,34,,
attention-2x8x8192x64,contextual_rag_llm,1,1000,completed,True,0.8449599742889404,86.0805817139917,0.8526080250740051,0.8526080250740051,26,1,4474,679,1,BaselineSearch,34,,
attention-2x8x8192x64,contextual_rag_llm,2,1001,completed,True,0.8346560001373291,81.44753376400331,0.8956159949302673,0.8156800270080566,26,1,4474,656,1,BaselineSearch,34,,
attention-2x8x8192x64,contextual_rag_llm,3,1002,completed,True,0.8432319760322571,92.86729597300291,0.8505920171737671,0.843936026096344,26,1,4474,671,1,BaselineSearch,34,,
attention-2x8x8192x64,contextual_rag_llm,4,1003,completed,True,0.854447990655899,72.96709068497876,0.8596799969673157,0.8596799969673157,26,1,4474,696,1,BaselineSearch,34,,
attention-2x8x8192x64,contextual_rag_llm,5,1004,completed,True,0.8373759984970093,96.75280254299287,0.8456000089645386,0.842928022146225,26,1,4474,699,1,BaselineSearch,34,,
attention-2x8x8192x64,hybrid_lfbo_llm,1,1000,completed,True,0.7866399884223938,230.07757191098062,0.8215680122375488,0.7887519896030426,80,1,4474,681,,BaselineSearch,72,26,54
attention-2x8x8192x64,hybrid_lfbo_llm,2,1001,completed,True,0.9539520144462585,315.09105018299306,1.005247950553894,0.960640013217926,80,1,4474,732,,BaselineSearch,72,26,54
attention-2x8x8192x64,hybrid_lfbo_llm,3,1002,completed,True,0.9543359875679016,326.73706408098224,1.0082240104675293,0.9600799977779388,80,1,4474,698,,BaselineSearch,72,26,54
attention-2x8x8192x64,hybrid_lfbo_llm,4,1003,completed,True,0.8452159762382507,320.95029061299283,0.850816011428833,0.8408640027046204,80,1,4474,703,,BaselineSearch,72,26,54
attention-2x8x8192x64,hybrid_lfbo_llm,5,1004,completed,True,0.8404480218887329,269.17491732299095,0.8465920090675354,0.8465920090675354,80,1,4474,703,,BaselineSearch,72,26,54
attention-2x8x8192x64,lfbo,1,1000,completed,True,0.7849599719047546,151.01513908800553,0.8216959834098816,0.7934719920158386,80,0,,,,BaselineSearch,42,,
attention-2x8x8192x64,lfbo,2,1001,completed,True,1.0555200576782227,206.07567948897486,1.0601919889450073,1.054688036441803,80,0,,,,BaselineSearch,41,,
attention-2x8x8192x64,lfbo,3,1002,completed,True,3.3558080196380615,257.4762451449933,3.3548800945281982,3.3548800945281982,80,0,,,,BaselineSearch,42,,
attention-2x8x8192x64,lfbo,4,1003,completed,True,1.009552001953125,257.4608549300174,1.057919979095459,1.0117119550704956,80,0,,,,BaselineSearch,42,,
attention-2x8x8192x64,lfbo,5,1004,completed,True,1.3868319988250732,116.54841269401368,1.4434880018234253,1.3993279933929443,80,0,,,,BaselineSearch,41,,
attention-2x8x8192x64,llm,1,1000,completed,True,0.8347520232200623,80.89066153898602,0.8976320028305054,0.8345919847488403,26,1,4474,634,,BaselineSearch,34,,
attention-2x8x8192x64,llm,2,1001,completed,True,0.8574720025062561,77.06724381400272,0.8642560243606567,0.8187519907951355,26,1,4474,642,,BaselineSearch,34,,
attention-2x8x8192x64,llm,3,1002,completed,True,0.8552640080451965,88.93080971299787,0.8606719970703125,0.8267520070075989,26,1,4474,711,,BaselineSearch,34,,
attention-2x8x8192x64,llm,4,1003,completed,True,0.856112003326416,69.72411939999438,0.8641279935836792,0.8627840280532837,26,1,4474,693,,BaselineSearch,34,,
attention-2x8x8192x64,llm,5,1004,completed,True,0.9560319781303406,91.89392338501057,1.006432056427002,0.9552960097789764,26,1,4474,665,,BaselineSearch,34,,
fp8_attention-2x4x2048x64,contextual_rag_llm,1,1000,completed,True,3.7114880084991455,74.16139540297445,3.65775990486145,3.65775990486145,26,1,4708,508,2,BaselineSearch,28,,
fp8_attention-2x4x2048x64,contextual_rag_llm,2,1001,completed,True,4.104544162750244,62.73391067201737,4.0583038330078125,4.0583038330078125,26,1,4708,491,2,BaselineSearch,29,,
