kernel,workload_key,shapes,dtypes,arm,rep,ok,status,perf_ms,num_configs_tested,autotune_time_s,end_to_end_s,num_generations,num_compile_failures,num_accuracy_failures,tier
attention,1662e26d70f96a9d85e35e743c821013cf6c46c5305a661eea43ddd70a5b0095,"((4, 48, 128, 128), (4, 48, 128, 128), (4, 48, 128, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",lfbo,0,True,ok,0.017084939848081987,724,1165.0977229382843,1169.130659295246,18,50,0,
attention,1662e26d70f96a9d85e35e743c821013cf6c46c5305a661eea43ddd70a5b0095,"((4, 48, 128, 128), (4, 48, 128, 128), (4, 48, 128, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",lfbo,1,True,ok,0.020169680685076227,779,1001.7048154426739,1004.9752351818606,20,31,0,
attention,1662e26d70f96a9d85e35e743c821013cf6c46c5305a661eea43ddd70a5b0095,"((4, 48, 128, 128), (4, 48, 128, 128), (4, 48, 128, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",lfbo,2,True,ok,0.018402697499995388,834,1107.1121668955311,1111.5688538495451,20,37,0,
attention,1662e26d70f96a9d85e35e743c821013cf6c46c5305a661eea43ddd70a5b0095,"((4, 48, 128, 128), (4, 48, 128, 128), (4, 48, 128, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",rag_lfbo,0,True,ok,0.018088918041865357,446,624.5692148730159,638.0079503003508,8,29,0,1
attention,1662e26d70f96a9d85e35e743c821013cf6c46c5305a661eea43ddd70a5b0095,"((4, 48, 128, 128), (4, 48, 128, 128), (4, 48, 128, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",rag_lfbo,1,True,ok,0.02028352266435597,438,1078.0366442827508,1089.34618343506,13,32,1,1
attention,1662e26d70f96a9d85e35e743c821013cf6c46c5305a661eea43ddd70a5b0095,"((4, 48, 128, 128), (4, 48, 128, 128), (4, 48, 128, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",rag_lfbo,2,True,ok,0.01578653613929035,360,474.67088176775724,486.27774790953845,8,35,1,1
attention,d87d3425edbab54cbe4cce09e5e713cf65a61a5c4567191aa43f7fc00def8781,"((4, 48, 2048, 128), (4, 48, 2048, 128), (4, 48, 2048, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",lfbo,0,True,ok,1.9391105296660442,488,1076.8355206018314,1079.6396913034841,13,62,1,
attention,d87d3425edbab54cbe4cce09e5e713cf65a61a5c4567191aa43f7fc00def8781,"((4, 48, 2048, 128), (4, 48, 2048, 128), (4, 48, 2048, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",lfbo,1,True,ok,1.113202174504598,888,2241.3678530249745,2244.758921605535,17,140,0,
attention,d87d3425edbab54cbe4cce09e5e713cf65a61a5c4567191aa43f7fc00def8781,"((4, 48, 2048, 128), (4, 48, 2048, 128), (4, 48, 2048, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",lfbo,2,True,ok,1.2066460493448619,493,1194.496238979511,1198.3192901220173,10,73,0,
attention,d87d3425edbab54cbe4cce09e5e713cf65a61a5c4567191aa43f7fc00def8781,"((4, 48, 2048, 128), (4, 48, 2048, 128), (4, 48, 2048, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",rag_lfbo,0,True,ok,0.9676285198201304,492,1241.9352167164907,1252.3377428045496,14,196,0,1
attention,d87d3425edbab54cbe4cce09e5e713cf65a61a5c4567191aa43f7fc00def8781,"((4, 48, 2048, 128), (4, 48, 2048, 128), (4, 48, 2048, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",rag_lfbo,1,True,ok,0.9772648574203573,562,1866.40671086777,1877.3979176441208,13,210,1,1
attention,d87d3425edbab54cbe4cce09e5e713cf65a61a5c4567191aa43f7fc00def8781,"((4, 48, 2048, 128), (4, 48, 2048, 128), (4, 48, 2048, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",rag_lfbo,2,True,ok,0.9630434752806373,425,1442.8083650507033,1455.107845905237,10,173,0,1
attention,eb14f0ebb15a40d0c05f4d6e8f345a3d681280e9a2ba154bdf6b2d17a5269bfe,"((4, 48, 8192, 128), (4, 48, 8192, 128), (4, 48, 8192, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",lfbo,0,True,ok,14.73862918217977,572,4224.627131911926,4227.47899232991,17,185,0,
attention,eb14f0ebb15a40d0c05f4d6e8f345a3d681280e9a2ba154bdf6b2d17a5269bfe,"((4, 48, 8192, 128), (4, 48, 8192, 128), (4, 48, 8192, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",lfbo,1,True,ok,17.109472274780273,377,2174.2181335426867,2176.960616853088,6,84,0,
attention,eb14f0ebb15a40d0c05f4d6e8f345a3d681280e9a2ba154bdf6b2d17a5269bfe,"((4, 48, 8192, 128), (4, 48, 8192, 128), (4, 48, 8192, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",lfbo,2,True,ok,15.256298700968424,570,2812.7530522225425,2815.7498734714463,11,169,0,
attention,eb14f0ebb15a40d0c05f4d6e8f345a3d681280e9a2ba154bdf6b2d17a5269bfe,"((4, 48, 8192, 128), (4, 48, 8192, 128), (4, 48, 8192, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",rag_lfbo,0,True,ok,15.592714627583822,501,2405.7521920446306,2418.0543690575287,12,203,0,1
attention,eb14f0ebb15a40d0c05f4d6e8f345a3d681280e9a2ba154bdf6b2d17a5269bfe,"((4, 48, 8192, 128), (4, 48, 8192, 128), (4, 48, 8192, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",rag_lfbo,1,True,ok,15.318981170654297,374,2279.2112189261243,2289.7834655046463,11,144,0,1
attention,eb14f0ebb15a40d0c05f4d6e8f345a3d681280e9a2ba154bdf6b2d17a5269bfe,"((4, 48, 8192, 128), (4, 48, 8192, 128), (4, 48, 8192, 128))","('torch.bfloat16', 'torch.bfloat16', 'torch.bfloat16')",rag_lfbo,2,True,ok,15.587050755818685,458,2500.451842796989,2511.290170413442,12,169,0,1
cross_entropy,0dc86229de2021d48d46644fa7d075e8a6581d57b34547bcdcff0e24dd2a69d3,"((16384, 4096), (16384,))","('torch.float32', 'torch.int64')",lfbo,0,True,ok,0.13150039209308578,967,1067.917803985998,1071.6061306521297,16,5,0,
cross_entropy,0dc86229de2021d48d46644fa7d075e8a6581d57b34547bcdcff0e24dd2a69d3,"((16384, 4096), (16384,))","('torch.float32', 'torch.int64')",lfbo,1,True,ok,0.13330159596915314,761,840.4197429269552,843.7895096661523,19,6,0,
cross_entropy,0dc86229de2021d48d46644fa7d075e8a6581d57b34547bcdcff0e24dd2a69d3,"((16384, 4096), (16384,))","('torch.float32', 'torch.int64')",lfbo,2,True,ok,0.12946011617924402,1098,770.2130089960992,773.2510608863086,17,2,0,
cross_entropy,0dc86229de2021d48d46644fa7d075e8a6581d57b34547bcdcff0e24dd2a69d3,"((16384, 4096), (16384,))","('torch.float32', 'torch.int64')",rag_lfbo,0,True,ok,0.1295105558706493,254,350.90364919323474,362.1036292714998,7,4,0,1
cross_entropy,0dc86229de2021d48d46644fa7d075e8a6581d57b34547bcdcff0e24dd2a69d3,"((16384, 4096), (16384,))","('torch.float32', 'torch.int64')",rag_lfbo,1,True,ok,0.1310531086591353,744,742.76448188629,758.0217507993802,18,6,0,1
cross_entropy,0dc86229de2021d48d46644fa7d075e8a6581d57b34547bcdcff0e24dd2a69d3,"((16384, 4096), (16384,))","('torch.float32', 'torch.int64')",rag_lfbo,2,True,ok,0.13333471235705585,609,471.9046492455527,483.55070292484015,20,2,0,1
cross_entropy,35f5307799ea746adfdf11933ac583283650e19f93f05435b329f9c03cdc9ca6,"((16384, 131072), (16384,))","('torch.float32', 'torch.int64')",lfbo,0,True,ok,4.554093769618443,1240,1002.6614665491506,1008.0270257135853,20,0,0,
cross_entropy,35f5307799ea746adfdf11933ac583283650e19f93f05435b329f9c03cdc9ca6,"((16384, 131072), (16384,))","('torch.float32', 'torch.int64')",lfbo,1,True,ok,4.67170557975769,670,829.6998524842784,832.798917346634,13,0,0,
cross_entropy,35f5307799ea746adfdf11933ac583283650e19f93f05435b329f9c03cdc9ca6,"((16384, 131072), (16384,))","('torch.float32', 'torch.int64')",lfbo,2,True,ok,4.554294881366548,724,906.1002115188166,910.4925464997068,14,0,0,
cross_entropy,35f5307799ea746adfdf11933ac583283650e19f93f05435b329f9c03cdc9ca6,"((16384, 131072), (16384,))","('torch.float32', 'torch.int64')",rag_lfbo,0,True,ok,4.664084792137146,510,614.771431828849,631.8855890939012,9,1,0,1
cross_entropy,35f5307799ea746adfdf11933ac583283650e19f93f05435b329f9c03cdc9ca6,"((16384, 131072), (16384,))","('torch.float32', 'torch.int64')",rag_lfbo,1,True,ok,4.55386209487915,985,975.6192600820214,987.3364132111892,20,0,0,1
cross_entropy,35f5307799ea746adfdf11933ac583283650e19f93f05435b329f9c03cdc9ca6,"((16384, 131072), (16384,))","('torch.float32', 'torch.int64')",rag_lfbo,2,True,ok,4.541551272074382,502,681.3451875504106,692.5546527719125,10,1,0,1
cross_entropy,a03d68eccc1970471d75d393775e44ad560e0b31741f2603940b1d6b6178caeb,"((16384, 32768), (16384,))","('torch.float32', 'torch.int64')",lfbo,0,True,ok,0.9380948192194889,399,393.25970998965204,396.2780789518729,7,3,0,
cross_entropy,a03d68eccc1970471d75d393775e44ad560e0b31741f2603940b1d6b6178caeb,"((16384, 32768), (16384,))","('torch.float32', 'torch.int64')",lfbo,1,True,ok,0.9370869868680051,485,662.475548222661,665.1227233419195,9,9,0,
cross_entropy,a03d68eccc1970471d75d393775e44ad560e0b31741f2603940b1d6b6178caeb,"((16384, 32768), (16384,))","('torch.float32', 'torch.int64')",lfbo,2,True,ok,0.9366437052425586,400,689.2350807338953,691.1473319400102,7,17,0,
cross_entropy,a03d68eccc1970471d75d393775e44ad560e0b31741f2603940b1d6b6178caeb,"((16384, 32768), (16384,))","('torch.float32', 'torch.int64')",rag_lfbo,1,True,ok,0.9359147768271597,312,580.9633446037769,593.2683129245415,6,7,0,1
cross_entropy,a03d68eccc1970471d75d393775e44ad560e0b31741f2603940b1d6b6178caeb,"((16384, 32768), (16384,))","('torch.float32', 'torch.int64')",rag_lfbo,2,True,ok,0.9360666946360939,291,701.3791019711643,718.0735267112032,5,6,0,1
helion_mamba2_chunk_scan_kernel,25b03aec2e31ceb5c67204335ef47d0ea1dd215aad5e3fdd4f28723dfac500cd,"((64, 8, 1, 256, 256), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256), (64, 2048, 1, 128), (64, 8, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,0,True,ok,2.2542928152306136,651,1311.2027020240203,1314.983218778856,10,11,1,
helion_mamba2_chunk_scan_kernel,25b03aec2e31ceb5c67204335ef47d0ea1dd215aad5e3fdd4f28723dfac500cd,"((64, 8, 1, 256, 256), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256), (64, 2048, 1, 128), (64, 8, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,1,True,ok,2.1449105468663303,945,2319.1698875389993,2324.488152497448,20,12,43,
helion_mamba2_chunk_scan_kernel,25b03aec2e31ceb5c67204335ef47d0ea1dd215aad5e3fdd4f28723dfac500cd,"((64, 8, 1, 256, 256), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256), (64, 2048, 1, 128), (64, 8, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,2,True,ok,2.0125340024630227,894,1560.1250332295895,1564.8566011833027,19,36,6,
helion_mamba2_chunk_scan_kernel,25b03aec2e31ceb5c67204335ef47d0ea1dd215aad5e3fdd4f28723dfac500cd,"((64, 8, 1, 256, 256), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256), (64, 2048, 1, 128), (64, 8, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,0,True,ok,2.1008765231008115,530,1353.0749711124226,1368.958952379413,15,19,11,1
helion_mamba2_chunk_scan_kernel,25b03aec2e31ceb5c67204335ef47d0ea1dd215aad5e3fdd4f28723dfac500cd,"((64, 8, 1, 256, 256), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256), (64, 2048, 1, 128), (64, 8, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,1,True,ok,2.080350637435913,712,1555.83800915163,1568.145111828111,17,13,6,1
helion_mamba2_chunk_scan_kernel,25b03aec2e31ceb5c67204335ef47d0ea1dd215aad5e3fdd4f28723dfac500cd,"((64, 8, 1, 256, 256), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256), (64, 2048, 1, 128), (64, 8, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,2,True,ok,2.0700377809240464,477,944.813155548647,956.5419200509787,9,11,6,1
helion_mamba2_chunk_scan_kernel,65af2b57d903fbf5d828d103ed11cf010ce78b396849bb42c749de57af99ddbe,"((1, 4, 1, 256, 256), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256), (1, 1024, 1, 128), (1, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,0,True,ok,0.022331623938942908,1135,2271.722005067393,2274.749206537381,20,41,1,
helion_mamba2_chunk_scan_kernel,65af2b57d903fbf5d828d103ed11cf010ce78b396849bb42c749de57af99ddbe,"((1, 4, 1, 256, 256), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256), (1, 1024, 1, 128), (1, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,1,True,ok,0.026568327485774344,1397,2841.74718052987,2848.6710120197386,20,25,8,
helion_mamba2_chunk_scan_kernel,65af2b57d903fbf5d828d103ed11cf010ce78b396849bb42c749de57af99ddbe,"((1, 4, 1, 256, 256), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256), (1, 1024, 1, 128), (1, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,2,True,ok,0.021624361572650363,1613,2076.731044012122,2081.676346112974,20,79,0,
helion_mamba2_chunk_scan_kernel,65af2b57d903fbf5d828d103ed11cf010ce78b396849bb42c749de57af99ddbe,"((1, 4, 1, 256, 256), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256), (1, 1024, 1, 128), (1, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,0,True,ok,0.02254369899673676,719,1356.1387700047344,1367.02195684053,20,8,1,1
helion_mamba2_chunk_scan_kernel,65af2b57d903fbf5d828d103ed11cf010ce78b396849bb42c749de57af99ddbe,"((1, 4, 1, 256, 256), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256), (1, 1024, 1, 128), (1, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,1,True,ok,0.021589257137051652,665,1383.5974452449009,1395.6061923867092,18,10,8,1
helion_mamba2_chunk_scan_kernel,65af2b57d903fbf5d828d103ed11cf010ce78b396849bb42c749de57af99ddbe,"((1, 4, 1, 256, 256), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256), (1, 1024, 1, 128), (1, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,2,True,ok,0.02150697139224836,639,1259.36652349215,1274.0754625536501,15,7,6,1
